accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,tiempo
0.53148,114.71428571428571,78,25000,0.98744,11556,157,944,12343,35074
0.70996,128.92857142857142,78,25000,0.53312,1415,5836,11085,6664,124855
0.52296,143.14285714285714,78,25000,0.99072,11810,116,690,12384,43743
0.52076,157.35714285714286,78,25000,0.9928,11891,90,609,12410,47729
0.5178,171.57142857142856,78,25000,0.992,11955,100,545,12400,51942
0.51608,185.78571428571428,78,25000,0.99328,12014,84,486,12416,55816
0.7672,15.214285714285714,85,25000,0.76512,2884,2936,9616,9564,17362
0.64268,29.428571428571427,85,25000,0.93376,8105,828,4395,11672,9535
0.74984,43.64285714285714,85,25000,0.68872,2363,3891,10137,8609,44174
0.74944,57.857142857142854,85,25000,0.67032,2143,4121,10357,8379,57248
0.74264,72.07142857142857,85,25000,0.63688,1895,4539,10605,7961,71855
0.7344,86.28571428571428,85,25000,0.60192,1664,4976,10836,7524,85123
0.72336,100.5,85,25000,0.56496,1478,5438,11022,7062,98408
0.52636,114.71428571428571,85,25000,0.98928,11707,134,793,12366,35162
0.7098,128.92857142857142,85,25000,0.52688,1341,5914,11159,6586,125149
0.51896,143.14285714285714,85,25000,0.99288,11937,89,563,12411,43475
0.51652,157.35714285714286,85,25000,0.99424,12015,72,485,12428,47921
0.51376,171.57142857142856,85,25000,0.99376,12078,78,422,12422,51901
0.51272,185.78571428571428,85,25000,0.99504,12120,62,380,12438,55920
0.76704,15.214285714285714,92,25000,0.7644,2879,2945,9621,9555,17329
0.64076,29.428571428571427,92,25000,0.93752,8200,781,4300,11719,9574
0.75176,43.64285714285714,92,25000,0.69024,2334,3872,10166,8628,44107
0.7514,57.857142857142854,92,25000,0.6704,2095,4120,10405,8380,57460
0.74384,72.07142857142857,92,25000,0.63696,1866,4538,10634,7962,75285
0.73692,86.28571428571428,92,25000,0.60488,1638,4939,10862,7561,88819
0.7246,100.5,92,25000,0.56536,1452,5433,11048,7067,99600
0.52364,114.71428571428571,92,25000,0.99008,11785,124,715,12376,36363
0.70952,128.92857142857142,92,25000,0.52464,1320,5942,11180,6558,127471
0.51704,143.14285714285714,92,25000,0.9928,11984,90,516,12410,43725
0.51528,157.35714285714286,92,25000,0.99496,12055,63,445,12437,50114
0.51248,171.57142857142856,92,25000,0.99464,12121,67,379,12433,53318
0.51172,185.78571428571428,92,25000,0.99672,12166,41,334,12459,64115
