accuracy,k,max_vocab_freq,testing entries,tiempo,metodo
0.733,100.5,0.7285714285714286,2000,35087,Inverted Index KNN
0.738,100.5,0.7857142857142857,2000,53031,KNN
0.733,100.5,0.7857142857142857,2000,35267,Inverted Index KNN
0.7405,100.5,0.8428571428571429,2000,53920,KNN
0.731,100.5,0.8428571428571429,2000,37694,Inverted Index KNN
0.8085,114.71428571428571,0.15714285714285714,2000,31358,KNN
0.7585,114.71428571428571,0.15714285714285714,2000,5509,Inverted Index KNN
0.81,114.71428571428571,0.2142857142857143,2000,35260,KNN
0.775,114.71428571428571,0.2142857142857143,2000,8535,Inverted Index KNN
0.8085,114.71428571428571,0.27142857142857146,2000,38919,KNN
0.78,114.71428571428571,0.27142857142857146,2000,11230,Inverted Index KNN
0.7995,114.71428571428571,0.3285714285714286,2000,41561,KNN
0.7745,114.71428571428571,0.3285714285714286,2000,13367,Inverted Index KNN
0.8085,114.71428571428571,0.3857142857142858,2000,43483,KNN
0.7945,114.71428571428571,0.3857142857142858,2000,16711,Inverted Index KNN
0.793,114.71428571428571,0.44285714285714284,2000,45955,KNN
0.7705,114.71428571428571,0.44285714285714284,2000,21788,Inverted Index KNN
0.777,114.71428571428571,0.5,2000,48193,KNN
0.7635,114.71428571428571,0.5,2000,23878,Inverted Index KNN
0.777,114.71428571428571,0.5571428571428572,2000,49221,KNN
0.775,114.71428571428571,0.5571428571428572,2000,27993,Inverted Index KNN
0.7435,114.71428571428571,0.6142857142857143,2000,51427,KNN
0.736,114.71428571428571,0.6142857142857143,2000,32270,Inverted Index KNN
0.7405,114.71428571428571,0.6714285714285715,2000,52515,KNN
0.731,114.71428571428571,0.6714285714285715,2000,34016,Inverted Index KNN
0.734,114.71428571428571,0.7285714285714286,2000,53325,KNN
0.7335,114.71428571428571,0.7285714285714286,2000,35390,Inverted Index KNN
0.734,114.71428571428571,0.7857142857142857,2000,53337,KNN
0.7335,114.71428571428571,0.7857142857142857,2000,35202,Inverted Index KNN
0.7365,114.71428571428571,0.8428571428571429,2000,54074,KNN
0.731,114.71428571428571,0.8428571428571429,2000,37682,Inverted Index KNN
0.8095,128.92857142857142,0.15714285714285714,2000,31583,KNN
0.7595,128.92857142857142,0.15714285714285714,2000,5470,Inverted Index KNN
0.8085,128.92857142857142,0.2142857142857143,2000,35178,KNN
0.7695,128.92857142857142,0.2142857142857143,2000,8546,Inverted Index KNN
0.8145,128.92857142857142,0.27142857142857146,2000,38919,KNN
0.781,128.92857142857142,0.27142857142857146,2000,11223,Inverted Index KNN
0.798,128.92857142857142,0.3285714285714286,2000,41864,KNN
0.774,128.92857142857142,0.3285714285714286,2000,13328,Inverted Index KNN
0.8075,128.92857142857142,0.3857142857142858,2000,43210,KNN
0.7895,128.92857142857142,0.3857142857142858,2000,16562,Inverted Index KNN
0.7895,128.92857142857142,0.44285714285714284,2000,46006,KNN
0.7745,128.92857142857142,0.44285714285714284,2000,21834,Inverted Index KNN
0.771,128.92857142857142,0.5,2000,48211,KNN
0.7635,128.92857142857142,0.5,2000,24054,Inverted Index KNN
0.7765,128.92857142857142,0.5571428571428572,2000,49137,KNN
0.775,128.92857142857142,0.5571428571428572,2000,28024,Inverted Index KNN
0.741,128.92857142857142,0.6142857142857143,2000,51760,KNN
0.732,128.92857142857142,0.6142857142857143,2000,32276,Inverted Index KNN
0.738,128.92857142857142,0.6714285714285715,2000,52677,KNN
0.727,128.92857142857142,0.6714285714285715,2000,33999,Inverted Index KNN
0.737,128.92857142857142,0.7285714285714286,2000,53445,KNN
0.7335,128.92857142857142,0.7285714285714286,2000,35251,Inverted Index KNN
0.737,128.92857142857142,0.7857142857142857,2000,53481,KNN
0.7335,128.92857142857142,0.7857142857142857,2000,35074,Inverted Index KNN
0.734,128.92857142857142,0.8428571428571429,2000,53660,KNN
0.73,128.92857142857142,0.8428571428571429,2000,37696,Inverted Index KNN
0.8065,143.14285714285714,0.15714285714285714,2000,31365,KNN
0.757,143.14285714285714,0.15714285714285714,2000,5517,Inverted Index KNN
0.803,143.14285714285714,0.2142857142857143,2000,35127,KNN
0.774,143.14285714285714,0.2142857142857143,2000,8509,Inverted Index KNN
0.813,143.14285714285714,0.27142857142857146,2000,38840,KNN
0.7765,143.14285714285714,0.27142857142857146,2000,11296,Inverted Index KNN
0.7975,143.14285714285714,0.3285714285714286,2000,41786,KNN
0.773,143.14285714285714,0.3285714285714286,2000,13395,Inverted Index KNN
0.8065,143.14285714285714,0.3857142857142858,2000,43329,KNN
0.795,143.14285714285714,0.3857142857142858,2000,16509,Inverted Index KNN
0.7855,143.14285714285714,0.44285714285714284,2000,46274,KNN
