nombre,p,p_densidad,min_cant_nodos,max_cant_nodos,step_nodos,cant_nodos,nro_intento,cant_intentos,tiempo_ns
random-910-nodos-4,0.5,0.3,20,1000,10,910,4,20,3617460228
random-80-nodos-8,0.5,0.3,20,1000,10,80,8,20,7366650
random-790-nodos-16,0.5,0.3,20,1000,10,790,16,20,2343771575
random-220-nodos-17,0.5,0.3,20,1000,10,220,17,20,63075883
random-990-nodos-9,0.5,0.3,20,1000,10,990,9,20,4539829636
random-550-nodos-6,0.5,0.3,20,1000,10,550,6,20,793703380
random-760-nodos-5,0.5,0.3,20,1000,10,760,5,20,2081253037
random-860-nodos-1,0.5,0.3,20,1000,10,860,1,20,3056735720
random-640-nodos-5,0.5,0.3,20,1000,10,640,5,20,1229346778
random-460-nodos-6,0.5,0.3,20,1000,10,460,6,20,475369974
random-420-nodos-14,0.5,0.3,20,1000,10,420,14,20,361414915
random-480-nodos-0,0.5,0.3,20,1000,10,480,0,20,525119043
random-870-nodos-19,0.5,0.3,20,1000,10,870,19,20,3089302958
random-90-nodos-5,0.5,0.3,20,1000,10,90,5,20,9001246
random-730-nodos-8,0.5,0.3,20,1000,10,730,8,20,1838907604
random-250-nodos-1,0.5,0.3,20,1000,10,250,1,20,89330003
random-640-nodos-6,0.5,0.3,20,1000,10,640,6,20,1255603054
random-850-nodos-7,0.5,0.3,20,1000,10,850,7,20,2896336368
random-440-nodos-11,0.5,0.3,20,1000,10,440,11,20,417837741
random-330-nodos-0,0.5,0.3,20,1000,10,330,0,20,186833229
random-780-nodos-15,0.5,0.3,20,1000,10,780,15,20,2256448184
random-220-nodos-9,0.5,0.3,20,1000,10,220,9,20,62765607
random-840-nodos-10,0.5,0.3,20,1000,10,840,10,20,2812824338
random-670-nodos-5,0.5,0.3,20,1000,10,670,5,20,1445978753
random-240-nodos-17,0.5,0.3,20,1000,10,240,17,20,78353101
random-130-nodos-8,0.5,0.3,20,1000,10,130,8,20,19767211
random-830-nodos-11,0.5,0.3,20,1000,10,830,11,20,2718064079
random-530-nodos-4,0.5,0.3,20,1000,10,530,4,20,710801947
random-580-nodos-16,0.5,0.3,20,1000,10,580,16,20,924167283
random-650-nodos-4,0.5,0.3,20,1000,10,650,4,20,1301537223
random-380-nodos-10,0.5,0.3,20,1000,10,380,10,20,275031783
random-660-nodos-9,0.5,0.3,20,1000,10,660,9,20,1364274533
random-30-nodos-16,0.5,0.3,20,1000,10,30,16,20,4370795
random-870-nodos-3,0.5,0.3,20,1000,10,870,3,20,3097479170
random-900-nodos-12,0.5,0.3,20,1000,10,900,12,20,3467968107
random-630-nodos-19,0.5,0.3,20,1000,10,630,19,20,1201614201
random-420-nodos-15,0.5,0.3,20,1000,10,420,15,20,364647072
random-160-nodos-2,0.5,0.3,20,1000,10,160,2,20,30213260
random-740-nodos-9,0.5,0.3,20,1000,10,740,9,20,1921098590
random-350-nodos-2,0.5,0.3,20,1000,10,350,2,20,218870788
random-690-nodos-0,0.5,0.3,20,1000,10,690,0,20,1557262364
random-310-nodos-0,0.5,0.3,20,1000,10,310,0,20,156703869
random-210-nodos-13,0.5,0.3,20,1000,10,210,13,20,55365353
random-850-nodos-15,0.5,0.3,20,1000,10,850,15,20,2927704526
random-800-nodos-4,0.5,0.3,20,1000,10,800,4,20,2430574210
random-840-nodos-11,0.5,0.3,20,1000,10,840,11,20,2806664612
random-380-nodos-8,0.5,0.3,20,1000,10,380,8,20,273525363
random-320-nodos-5,0.5,0.3,20,1000,10,320,5,20,171884747
random-400-nodos-13,0.5,0.3,20,1000,10,400,13,20,315995813
random-470-nodos-6,0.5,0.3,20,1000,10,470,6,20,509586230
random-160-nodos-14,0.5,0.3,20,1000,10,160,14,20,28374599
random-850-nodos-2,0.5,0.3,20,1000,10,850,2,20,2908336803
random-660-nodos-4,0.5,0.3,20,1000,10,660,4,20,1360374375
random-610-nodos-6,0.5,0.3,20,1000,10,610,6,20,1073823054
random-30-nodos-15,0.5,0.3,20,1000,10,30,15,20,3995562
random-690-nodos-4,0.5,0.3,20,1000,10,690,4,20,1567733960
random-880-nodos-15,0.5,0.3,20,1000,10,880,15,20,3221323333
random-990-nodos-8,0.5,0.3,20,1000,10,990,8,20,4547080715
random-40-nodos-9,0.5,0.3,20,1000,10,40,9,20,4692010
random-420-nodos-18,0.5,0.3,20,1000,10,420,18,20,363682842
random-20-nodos-5,0.5,0.3,20,1000,10,20,5,20,4104802
random-620-nodos-9,0.5,0.3,20,1000,10,620,9,20,1142078079
random-820-nodos-1,0.5,0.3,20,1000,10,820,1,20,2645816910
random-270-nodos-0,0.5,0.3,20,1000,10,270,0,20,106437401
random-530-nodos-2,0.5,0.3,20,1000,10,530,2,20,711442448
random-530-nodos-17,0.5,0.3,20,1000,10,530,17,20,713453352
random-810-nodos-18,0.5,0.3,20,1000,10,810,18,20,2532901045
random-780-nodos-8,0.5,0.3,20,1000,10,780,8,20,2253134412
random-400-nodos-15,0.5,0.3,20,1000,10,400,15,20,317395977
random-130-nodos-6,0.5,0.3,20,1000,10,130,6,20,18343469
random-840-nodos-14,0.5,0.3,20,1000,10,840,14,20,2798669951
random-110-nodos-6,0.5,0.3,20,1000,10,110,6,20,13049935
random-130-nodos-14,0.5,0.3,20,1000,10,130,14,20,18044703
random-920-nodos-11,0.5,0.3,20,1000,10,920,11,20,3641808725
random-740-nodos-14,0.5,0.3,20,1000,10,740,14,20,1919682454
random-50-nodos-4,0.5,0.3,20,1000,10,50,4,20,5172681
random-350-nodos-1,0.5,0.3,20,1000,10,350,1,20,223239767
random-770-nodos-10,0.5,0.3,20,1000,10,770,10,20,2174103821
random-200-nodos-10,0.5,0.3,20,1000,10,200,10,20,50032739
random-730-nodos-18,0.5,0.3,20,1000,10,730,18,20,1832391136
random-320-nodos-2,0.5,0.3,20,1000,10,320,2,20,171948576
random-920-nodos-3,0.5,0.3,20,1000,10,920,3,20,3698271703
