nombre,p,m,min_cant_nodos,max_cant_nodos,step_nodos,cant_nodos,nro_intento,cant_intentos,tiempo_ns
random-920-nodos-2,0.5,380,20,1000,10,920,2,5,21891902
random-880-nodos-3,0.5,380,20,1000,10,880,3,5,16500372
random-350-nodos-3,0.5,380,20,1000,10,350,3,5,6950119
random-830-nodos-1,0.5,380,20,1000,10,830,1,5,15379657
random-480-nodos-4,0.5,380,20,1000,10,480,4,5,8690495
random-40-nodos-3,0.5,380,20,1000,10,40,3,5,4151960
random-340-nodos-1,0.5,380,20,1000,10,340,1,5,7772103
random-520-nodos-4,0.5,380,20,1000,10,520,4,5,12981493
random-630-nodos-0,0.5,380,20,1000,10,630,0,5,13742152
random-990-nodos-3,0.5,380,20,1000,10,990,3,5,19258521
random-450-nodos-2,0.5,380,20,1000,10,450,2,5,8496652
random-880-nodos-4,0.5,380,20,1000,10,880,4,5,18677169
random-740-nodos-2,0.5,380,20,1000,10,740,2,5,13451641
random-910-nodos-2,0.5,380,20,1000,10,910,2,5,20330309
random-150-nodos-1,0.5,380,20,1000,10,150,1,5,5636069
random-510-nodos-4,0.5,380,20,1000,10,510,4,5,11442098
