nombre,n,p,p_densidad,cant_densidades,nro_intento,cant_intentos,val
random-0.49999999999999994-pdens-221-cant_nodos-1,221,0.5,0.49999999999999994,20,1,1,1.98397e-13
random-0.3-pdens-221-cant_nodos-1,221,0.5,0.3,20,1,1,2.0639e-13
random-0.39999999999999997-pdens-401-cant_nodos-1,401,0.5,0.39999999999999997,20,1,1,4.89053e-13
random-0.7499999999999999-pdens-81-cant_nodos-1,81,0.5,0.7499999999999999,20,1,1,6.26166e-14
random-0.8999999999999999-pdens-281-cant_nodos-1,281,0.5,0.8999999999999999,20,1,1,3.28848e-13
random-0.19999999999999998-pdens-161-cant_nodos-1,161,0.5,0.19999999999999998,20,1,1,1.34892e-13
random-0.35-pdens-381-cant_nodos-1,381,0.5,0.35,20,1,1,4.9738e-13
random-0.8999999999999999-pdens-1-cant_nodos-1,1,0.5,0.8999999999999999,20,1,1,0.0
random-0.39999999999999997-pdens-61-cant_nodos-1,61,0.5,0.39999999999999997,20,1,1,3.76366e-14
random-0.24999999999999997-pdens-81-cant_nodos-1,81,0.5,0.24999999999999997,20,1,1,4.996e-14
random-0.35-pdens-161-cant_nodos-1,161,0.5,0.35,20,1,1,1.27232e-13
random-0.7-pdens-461-cant_nodos-1,461,0.5,0.7,20,1,1,6.75793e-13
random-0.95-pdens-201-cant_nodos-1,201,0.5,0.95,20,1,1,1.89626e-13
random-0.19999999999999998-pdens-381-cant_nodos-1,381,0.5,0.19999999999999998,20,1,1,4.27214e-13
random-0.0-pdens-361-cant_nodos-1,361,0.5,0.0,20,1,1,0.0
