nombre_exp,nombre_img,n_cells,ray_type,ray_cnt,lsq,error,error_std,alpha,cache,tiempo_lsq_pre,tiempo_lsq,cant_autovalores,psnr
expVariandoCantRayos,tree,32,1,3100,0,0,1,0.0001,1,0,9060,875,17.9690853355744
expVariandoCantRayos,tree,32,1,4100,0,0,1,0.0001,1,0,11397,865,13.362534961735019
expVariandoCantRayos,tree,32,1,4100,0,0,1,0.0001,1,0,11461,865,13.362534961735019
expVariandoCantRayos,tree,32,1,5100,0,0,1,0.0001,1,0,13810,875,-7.526511232260531
expVariandoCantRayos,tree,32,1,5100,0,0,1,0.0001,1,0,14609,875,-7.526511232260531
expVariandoCantRayos,tree,32,1,6100,0,0,1,0.0001,1,0,16461,861,13.372281466370097
expVariandoCantRayos,tree,32,1,6100,0,0,1,0.0001,1,0,16032,861,13.372281466370097
expVariandoCantRayos,tree,32,1,7100,0,0,1,0.0001,1,0,18918,875,17.987379276720013
expVariandoCantRayos,tree,32,1,7100,0,0,1,0.0001,1,0,18373,875,17.987379276720013
expVariandoCantRayos,tree,32,1,8100,0,0,1,0.0001,1,0,21241,881,17.98273316840762
expVariandoCantRayos,tree,32,1,8100,0,0,1,0.0001,1,0,21227,881,17.98273316840762
expVariandoCantRayos,tree,32,1,9100,0,0,1,0.0001,1,0,26702,875,17.98668553186429
expVariandoCantRayos,tree,32,1,9100,0,0,1,0.0001,1,0,26410,875,17.98668553186429
expVariandoCantRayos,tree,32,1,10100,0,0,1,0.0001,1,0,26134,881,18.000807001156627
expVariandoCantRayos,tree,32,1,10100,0,0,1,0.0001,1,0,26432,881,18.000807001156627
expVariandoCantRayos,tree,32,1,11100,0,0,1,0.0001,1,0,28280,873,17.976740045174996
expVariandoCantRayos,tree,32,1,11100,0,0,1,0.0001,1,0,28186,873,17.976740045174996
expVariandoCantRayos,tree,32,1,12100,0,0,1,0.0001,1,0,30547,879,18.001043604793537
expVariandoCantRayos,tree,32,1,12100,0,0,1,0.0001,1,0,30679,879,18.001043604793537
expVariandoCantRayos,tree,32,1,13100,0,0,1,0.0001,1,0,32734,870,17.97476643292436
expVariandoCantRayos,tree,32,1,13100,0,0,1,0.0001,1,0,32782,870,17.97476643292436
expVariandoCantRayos,tree,32,1,14100,0,0,1,0.0001,1,0,35243,881,17.996473346695634
expVariandoCantRayos,tree,32,1,14100,0,0,1,0.0001,1,0,36416,881,17.996473346695634
expVariandoCantRayos,tree,32,1,15100,0,0,1,0.0001,1,0,37802,881,17.98800530670499
expVariandoCantRayos,tree,32,1,15100,0,0,1,0.0001,1,0,37840,881,17.98800530670499
expVariandoCantRayos,tree,32,1,16100,0,0,1,0.0001,1,0,40067,881,17.99843468815143
expVariandoCantRayos,tree,32,1,16100,0,0,1,0.0001,1,0,40184,881,17.99843468815143
expVariandoCantRayos,tree,32,1,17100,0,0,1,0.0001,1,0,42527,879,17.988829220563808
expVariandoCantRayos,tree,32,1,17100,0,0,1,0.0001,1,0,42714,879,17.988829220563808
expVariandoCantRayos,tree,32,1,18100,0,0,1,0.0001,1,0,44963,879,18.00330888338481
expVariandoCantRayos,tree,32,1,18100,0,0,1,0.0001,1,0,45126,879,18.00330888338481
expVariandoCantRayos,tree,32,1,19100,0,0,1,0.0001,1,0,47211,876,17.992109260955772
expVariandoCantRayos,tree,32,1,19100,0,0,1,0.0001,1,0,52115,876,17.992109260955772
expVariandoCantRayos,tree,32,2,100,0,0,1,0.0001,1,0,23,100,6.879935751810592
expVariandoCantRayos,tree,32,2,100,0,0,1,0.0001,1,0,23,100,6.879935751810592
expVariandoCantRayos,tree,32,2,1100,0,0,1,0.0001,1,0,5334,986,22.92553006241993
expVariandoCantRayos,tree,32,2,1100,0,0,1,0.0001,1,0,6582,986,22.92553006241993
expVariandoCantRayos,tree,32,2,2100,0,0,1,0.0001,1,0,8613,1024,24.63081627218944
expVariandoCantRayos,tree,32,2,2100,0,0,1,0.0001,1,0,8578,1024,24.63081627218944
expVariandoCantRayos,tree,32,2,3100,0,0,1,0.0001,1,0,11403,1024,24.63276349064081
expVariandoCantRayos,tree,32,2,3100,0,0,1,0.0001,1,0,11315,1024,24.63276349064081
expVariandoCantRayos,tree,32,2,4100,0,0,1,0.0001,1,0,14347,1024,24.636589049020493
expVariandoCantRayos,tree,32,2,4100,0,0,1,0.0001,1,0,14202,1024,24.636589049020493
expVariandoCantRayos,tree,32,2,5100,0,0,1,0.0001,1,0,17179,1024,24.636589705651858
expVariandoCantRayos,tree,32,2,5100,0,0,1,0.0001,1,0,17538,1024,24.636589705651858
expVariandoCantRayos,tree,32,2,6100,0,0,1,0.0001,1,0,20443,1024,24.637357218832896
expVariandoCantRayos,tree,32,2,6100,0,0,1,0.0001,1,0,19288,1024,24.637357218832896
expVariandoCantRayos,tree,32,2,7100,0,0,1,0.0001,1,0,22258,1024,24.637752229095426
expVariandoCantRayos,tree,32,2,7100,0,0,1,0.0001,1,0,22255,1024,24.637752229095426
expVariandoCantRayos,tree,32,2,8100,0,0,1,0.0001,1,0,25177,1024,24.636678915276097
expVariandoCantRayos,tree,32,2,8100,0,0,1,0.0001,1,0,26489,1024,24.636678915276097
expVariandoCantRayos,tree,32,2,9100,0,0,1,0.0001,1,0,31572,1024,24.634335179697228
expVariandoCantRayos,tree,32,2,9100,0,0,1,0.0001,1,0,31409,1024,24.634335179697228
expVariandoCantRayos,tree,32,2,10100,0,0,1,0.0001,1,0,31021,1024,24.63622662249863
expVariandoCantRayos,tree,32,2,10100,0,0,1,0.0001,1,0,31094,1024,24.63622662249863
expVariandoCantRayos,tree,32,2,11100,0,0,1,0.0001,1,0,33900,1024,24.635719519104168
expVariandoCantRayos,tree,32,2,11100,0,0,1,0.0001,1,0,33790,1024,24.635719519104168
expVariandoCantRayos,tree,32,2,12100,0,0,1,0.0001,1,0,37041,1024,24.636973186496988
expVariandoCantRayos,tree,32,2,12100,0,0,1,0.0001,1,0,36797,1024,24.636973186496988
expVariandoCantRayos,tree,32,2,13100,0,0,1,0.0001,1,0,39537,1024,24.63678074710809
expVariandoCantRayos,tree,32,2,13100,0,0,1,0.0001,1,0,39625,1024,24.63678074710809
expVariandoCantRayos,tree,32,2,14100,0,0,1,0.0001,1,0,42272,1024,24.637972654487065
expVariandoCantRayos,tree,32,2,14100,0,0,1,0.0001,1,0,42382,1024,24.637972654487065
expVariandoCantRayos,tree,32,2,15100,0,0,1,0.0001,1,0,44756,1024,24.6374006289329
expVariandoCantRayos,tree,32,2,15100,0,0,1,0.0001,1,0,44805,1024,24.6374006289329
expVariandoCantRayos,tree,32,2,16100,0,0,1,0.0001,1,0,47635,1024,24.63825290802223
expVariandoCantRayos,tree,32,2,16100,0,0,1,0.0001,1,0,47351,1024,24.63825290802223
expVariandoCantRayos,tree,32,2,17100,0,0,1,0.0001,1,0,51134,1024,24.63727801409256
expVariandoCantRayos,tree,32,2,17100,0,0,1,0.0001,1,0,50869,1024,24.63727801409256
expVariandoCantRayos,tree,32,2,18100,0,0,1,0.0001,1,0,53463,1024,24.6373031605714
expVariandoCantRayos,tree,32,2,18100,0,0,1,0.0001,1,0,53390,1024,24.6373031605714
expVariandoCantRayos,tree,32,2,19100,0,0,1,0.0001,1,0,56270,1024,24.637518894694534
expVariandoCantRayos,tree,32,2,19100,0,0,1,0.0001,1,0,56401,1024,24.637518894694534
expVariandoCantRayos,tomo-torso,32,0,100,0,0,1,0.0001,1,0,17,63,15.423113598704457
expVariandoCantRayos,tomo-torso,32,0,100,0,0,1,0.0001,1,0,12,63,15.423113598704457
expVariandoCantRayos,tomo-torso,32,0,1100,0,0,1,0.0001,1,0,87,63,15.423070781556646
expVariandoCantRayos,tomo-torso,32,0,1100,0,0,1,0.0001,1,0,87,63,15.423070781556646
expVariandoCantRayos,tomo-torso,32,0,2100,0,0,1,0.0001,1,0,168,63,15.423064477122299
expVariandoCantRayos,tomo-torso,32,0,2100,0,0,1,0.0001,1,0,167,63,15.423064477122299
expVariandoCantRayos,tomo-torso,32,0,3100,0,0,1,0.0001,1,0,245,63,15.423071917083126
expVariandoCantRayos,tomo-torso,32,0,3100,0,0,1,0.0001,1,0,248,63,15.423071917083126
expVariandoCantRayos,tomo-torso,32,0,4100,0,0,1,0.0001,1,0,346,63,15.423065132989342
expVariandoCantRayos,tomo-torso,32,0,4100,0,0,1,0.0001,1,0,387,63,15.423065132989342
expVariandoCantRayos,tomo-torso,32,0,5100,0,0,1,0.0001,1,0,583,63,15.423070641214196
expVariandoCantRayos,tomo-torso,32,0,5100,0,0,1,0.0001,1,0,483,63,15.423070641214196
expVariandoCantRayos,tomo-torso,32,0,6100,0,0,1,0.0001,1,0,524,63,15.4230741866116
expVariandoCantRayos,tomo-torso,32,0,6100,0,0,1,0.0001,1,0,594,63,15.4230741866116
expVariandoCantRayos,tomo-torso,32,0,7100,0,0,1,0.0001,1,0,680,63,15.423067116075828
expVariandoCantRayos,tomo-torso,32,0,7100,0,0,1,0.0001,1,0,790,63,15.423067116075828
expVariandoCantRayos,tomo-torso,32,0,8100,0,0,1,0.0001,1,0,807,63,15.42306344697234
expVariandoCantRayos,tomo-torso,32,0,8100,0,0,1,0.0001,1,0,1012,63,15.42306344697234
expVariandoCantRayos,tomo-torso,32,0,9100,0,0,1,0.0001,1,0,1193,63,15.423069373716892
expVariandoCantRayos,tomo-torso,32,0,9100,0,0,1,0.0001,1,0,1123,63,15.423069373716892
expVariandoCantRayos,tomo-torso,32,0,10100,0,0,1,0.0001,1,0,1280,63,15.42306475926903
expVariandoCantRayos,tomo-torso,32,0,10100,0,0,1,0.0001,1,0,1222,63,15.42306475926903
expVariandoCantRayos,tomo-torso,32,0,11100,0,0,1,0.0001,1,0,1306,63,15.423041626371369
expVariandoCantRayos,tomo-torso,32,0,11100,0,0,1,0.0001,1,0,1442,63,15.423041626371369
expVariandoCantRayos,tomo-torso,32,0,12100,0,0,1,0.0001,1,0,1501,63,15.423067729844018
expVariandoCantRayos,tomo-torso,32,0,12100,0,0,1,0.0001,1,0,1409,63,15.423067729844018
expVariandoCantRayos,tomo-torso,32,0,13100,0,0,1,0.0001,1,0,1572,63,15.423082429785497
